coluna A 1;coluna B 1;coluna C 1
coluna A 24729;coluna B 24729;coluna C 24729
coluna A 49661;coluna B 49661;coluna C 49661
coluna A 9619;coluna B 9619;coluna C 9619
coluna A 29656;coluna B 29656;coluna C 29656
coluna A 34669;coluna B 34669;coluna C 34669
coluna A 4648;coluna B 4648;coluna C 4648
coluna A 19678;coluna B 19678;coluna C 19678
coluna A 44715;coluna B 44715;coluna C 44715
coluna A 19679;coluna B 19679;coluna C 19679
coluna A 14674;coluna B 14674;coluna C 14674
coluna A 39685;coluna B 39685;coluna C 39685
coluna A 39686;coluna B 39686;coluna C 39686
coluna A 24730;coluna B 24730;coluna C 24730
coluna A 49662;coluna B 49662;coluna C 49662
coluna A 9620;coluna B 9620;coluna C 9620
coluna A 29657;coluna B 29657;coluna C 29657
coluna A 34670;coluna B 34670;coluna C 34670
coluna A 4649;coluna B 4649;coluna C 4649
coluna A 44716;coluna B 44716;coluna C 44716
coluna A 19680;coluna B 19680;coluna C 19680
coluna A 14675;coluna B 14675;coluna C 14675
coluna A 39687;coluna B 39687;coluna C 39687
coluna A 24731;coluna B 24731;coluna C 24731
coluna A 49663;coluna B 49663;coluna C 49663
coluna A 9621;coluna B 9621;coluna C 9621
coluna A 29658;coluna B 29658;coluna C 29658
coluna A 34671;coluna B 34671;coluna C 34671
coluna A 4650;coluna B 4650;coluna C 4650
coluna A 44717;coluna B 44717;coluna C 44717
coluna A 44718;coluna B 44718;coluna C 44718
coluna A 19681;coluna B 19681;coluna C 19681
coluna A 14676;coluna B 14676;coluna C 14676
coluna A 39688;coluna B 39688;coluna C 39688
coluna A 24732;coluna B 24732;coluna C 24732
coluna A 49664;coluna B 49664;coluna C 49664
coluna A 9622;coluna B 9622;coluna C 9622
coluna A 9623;coluna B 9623;coluna C 9623
coluna A 9624;coluna B 9624;coluna C 9624
coluna A 9625;coluna B 9625;coluna C 9625
coluna A 29659;coluna B 29659;coluna C 29659
coluna A 29660;coluna B 29660;coluna C 29660
coluna A 29661;coluna B 29661;coluna C 29661
coluna A 34672;coluna B 34672;coluna C 34672
coluna A 4651;coluna B 4651;coluna C 4651
coluna A 44719;coluna B 44719;coluna C 44719
coluna A 19682;coluna B 19682;coluna C 19682
coluna A 19683;coluna B 19683;coluna C 19683
coluna A 14677;coluna B 14677;coluna C 14677
coluna A 39689;coluna B 39689;coluna C 39689
coluna A 24733;coluna B 24733;coluna C 24733
coluna A 49665;coluna B 49665;coluna C 49665
coluna A 9626;coluna B 9626;coluna C 9626
coluna A 29662;coluna B 29662;coluna C 29662
coluna A 34673;coluna B 34673;coluna C 34673
coluna A 4652;coluna B 4652;coluna C 4652
coluna A 44720;coluna B 44720;coluna C 44720
coluna A 19684;coluna B 19684;coluna C 19684
coluna A 14678;coluna B 14678;coluna C 14678
coluna A 14679;coluna B 14679;coluna C 14679
coluna A 39690;coluna B 39690;coluna C 39690
coluna A 24734;coluna B 24734;coluna C 24734
coluna A 49666;coluna B 49666;coluna C 49666
coluna A 9627;coluna B 9627;coluna C 9627
coluna A 29663;coluna B 29663;coluna C 29663
coluna A 34674;coluna B 34674;coluna C 34674
coluna A 4653;coluna B 4653;coluna C 4653
coluna A 44721;coluna B 44721;coluna C 44721
coluna A 19685;coluna B 19685;coluna C 19685
coluna A 14680;coluna B 14680;coluna C 14680
coluna A 39691;coluna B 39691;coluna C 39691
coluna A 24735;coluna B 24735;coluna C 24735
coluna A 49667;coluna B 49667;coluna C 49667
coluna A 9628;coluna B 9628;coluna C 9628
coluna A 29664;coluna B 29664;coluna C 29664
coluna A 34675;coluna B 34675;coluna C 34675
coluna A 4654;coluna B 4654;coluna C 4654
coluna A 4655;coluna B 4655;coluna C 4655
coluna A 44722;coluna B 44722;coluna C 44722
coluna A 19686;coluna B 19686;coluna C 19686
coluna A 14681;coluna B 14681;coluna C 14681
coluna A 39692;coluna B 39692;coluna C 39692
coluna A 24736;coluna B 24736;coluna C 24736
coluna A 49668;coluna B 49668;coluna C 49668
coluna A 9629;coluna B 9629;coluna C 9629
coluna A 29665;coluna B 29665;coluna C 29665
coluna A 34676;coluna B 34676;coluna C 34676
coluna A 4656;coluna B 4656;coluna C 4656
coluna A 44723;coluna B 44723;coluna C 44723
coluna A 19687;coluna B 19687;coluna C 19687
coluna A 14682;coluna B 14682;coluna C 14682
coluna A 39693;coluna B 39693;coluna C 39693
coluna A 24737;coluna B 24737;coluna C 24737
coluna A 49669;coluna B 49669;coluna C 49669
coluna A 9630;coluna B 9630;coluna C 9630
coluna A 9631;coluna B 9631;coluna C 9631
coluna A 29666;coluna B 29666;coluna C 29666
coluna A 29667;coluna B 29667;coluna C 29667
coluna A 34677;coluna B 34677;coluna C 34677
coluna A 4657;coluna B 4657;coluna C 4657
coluna A 4658;coluna B 4658;coluna C 4658
coluna A 4659;coluna B 4659;coluna C 4659
coluna A 4660;coluna B 4660;coluna C 4660
coluna A 4661;coluna B 4661;coluna C 4661
coluna A 4662;coluna B 4662;coluna C 4662
coluna A 4663;coluna B 4663;coluna C 4663
coluna A 44724;coluna B 44724;coluna C 44724
coluna A 44725;coluna B 44725;coluna C 44725
coluna A 19688;coluna B 19688;coluna C 19688
coluna A 14683;coluna B 14683;coluna C 14683
coluna A 39694;coluna B 39694;coluna C 39694
coluna A 39695;coluna B 39695;coluna C 39695
coluna A 39696;coluna B 39696;coluna C 39696
coluna A 24738;coluna B 24738;coluna C 24738
coluna A 49670;coluna B 49670;coluna C 49670
coluna A 24739;coluna B 24739;coluna C 24739
coluna A 9632;coluna B 9632;coluna C 9632
coluna A 24740;coluna B 24740;coluna C 24740
coluna A 29668;coluna B 29668;coluna C 29668
coluna A 24741;coluna B 24741;coluna C 24741
coluna A 34678;coluna B 34678;coluna C 34678
coluna A 4664;coluna B 4664;coluna C 4664
coluna A 44726;coluna B 44726;coluna C 44726
coluna A 19689;coluna B 19689;coluna C 19689
coluna A 19690;coluna B 19690;coluna C 19690
coluna A 14684;coluna B 14684;coluna C 14684
coluna A 39697;coluna B 39697;coluna C 39697
coluna A 49671;coluna B 49671;coluna C 49671
coluna A 9633;coluna B 9633;coluna C 9633
coluna A 29669;coluna B 29669;coluna C 29669
coluna A 24742;coluna B 24742;coluna C 24742
coluna A 34679;coluna B 34679;coluna C 34679
coluna A 34680;coluna B 34680;coluna C 34680
coluna A 34681;coluna B 34681;coluna C 34681
coluna A 34682;coluna B 34682;coluna C 34682
coluna A 4665;coluna B 4665;coluna C 4665
coluna A 44727;coluna B 44727;coluna C 44727
coluna A 19691;coluna B 19691;coluna C 19691
coluna A 14685;coluna B 14685;coluna C 14685
coluna A 14686;coluna B 14686;coluna C 14686
coluna A 39698;coluna B 39698;coluna C 39698
coluna A 49672;coluna B 49672;coluna C 49672
coluna A 9634;coluna B 9634;coluna C 9634
coluna A 29670;coluna B 29670;coluna C 29670
coluna A 24743;coluna B 24743;coluna C 24743
coluna A 24744;coluna B 24744;coluna C 24744
coluna A 34683;coluna B 34683;coluna C 34683
coluna A 4666;coluna B 4666;coluna C 4666
coluna A 44728;coluna B 44728;coluna C 44728
coluna A 4667;coluna B 4667;coluna C 4667
coluna A 19692;coluna B 19692;coluna C 19692
coluna A 14687;coluna B 14687;coluna C 14687
coluna A 39699;coluna B 39699;coluna C 39699
coluna A 49673;coluna B 49673;coluna C 49673
coluna A 9635;coluna B 9635;coluna C 9635
coluna A 29671;coluna B 29671;coluna C 29671
coluna A 9636;coluna B 9636;coluna C 9636
coluna A 24745;coluna B 24745;coluna C 24745
coluna A 34684;coluna B 34684;coluna C 34684
coluna A 34685;coluna B 34685;coluna C 34685
coluna A 44729;coluna B 44729;coluna C 44729
coluna A 4668;coluna B 4668;coluna C 4668
coluna A 19693;coluna B 19693;coluna C 19693
coluna A 14688;coluna B 14688;coluna C 14688
coluna A 39700;coluna B 39700;coluna C 39700
coluna A 49674;coluna B 49674;coluna C 49674
coluna A 29672;coluna B 29672;coluna C 29672
coluna A 29673;coluna B 29673;coluna C 29673
coluna A 9637;coluna B 9637;coluna C 9637
coluna A 24746;coluna B 24746;coluna C 24746
coluna A 34686;coluna B 34686;coluna C 34686
coluna A 44730;coluna B 44730;coluna C 44730
coluna A 4669;coluna B 4669;coluna C 4669
coluna A 19694;coluna B 19694;coluna C 19694
coluna A 19695;coluna B 19695;coluna C 19695
coluna A 14689;coluna B 14689;coluna C 14689
coluna A 39701;coluna B 39701;coluna C 39701
coluna A 49675;coluna B 49675;coluna C 49675
coluna A 29674;coluna B 29674;coluna C 29674
coluna A 9638;coluna B 9638;coluna C 9638
coluna A 29675;coluna B 29675;coluna C 29675
coluna A 24747;coluna B 24747;coluna C 24747
coluna A 34687;coluna B 34687;coluna C 34687
coluna A 44731;coluna B 44731;coluna C 44731
coluna A 4670;coluna B 4670;coluna C 4670
coluna A 19696;coluna B 19696;coluna C 19696
coluna A 19697;coluna B 19697;coluna C 19697
coluna A 14690;coluna B 14690;coluna C 14690
coluna A 39702;coluna B 39702;coluna C 39702
coluna A 49676;coluna B 49676;coluna C 49676
coluna A 9639;coluna B 9639;coluna C 9639
coluna A 29676;coluna B 29676;coluna C 29676
coluna A 24748;coluna B 24748;coluna C 24748
coluna A 34688;coluna B 34688;coluna C 34688
coluna A 44732;coluna B 44732;coluna C 44732
coluna A 44733;coluna B 44733;coluna C 44733
coluna A 4671;coluna B 4671;coluna C 4671
coluna A 4672;coluna B 4672;coluna C 4672
coluna A 19698;coluna B 19698;coluna C 19698
coluna A 14691;coluna B 14691;coluna C 14691
coluna A 19699;coluna B 19699;coluna C 19699
coluna A 39703;coluna B 39703;coluna C 39703
coluna A 49677;coluna B 49677;coluna C 49677
coluna A 9640;coluna B 9640;coluna C 9640
coluna A 29677;coluna B 29677;coluna C 29677
coluna A 24749;coluna B 24749;coluna C 24749
coluna A 34689;coluna B 34689;coluna C 34689
coluna A 44734;coluna B 44734;coluna C 44734
coluna A 4673;coluna B 4673;coluna C 4673
coluna A 14692;coluna B 14692;coluna C 14692
coluna A 19700;coluna B 19700;coluna C 19700
coluna A 39704;coluna B 39704;coluna C 39704
coluna A 39705;coluna B 39705;coluna C 39705
coluna A 49678;coluna B 49678;coluna C 49678
coluna A 9641;coluna B 9641;coluna C 9641
coluna A 29678;coluna B 29678;coluna C 29678
coluna A 24750;coluna B 24750;coluna C 24750
coluna A 34690;coluna B 34690;coluna C 34690
coluna A 44735;coluna B 44735;coluna C 44735
coluna A 4674;coluna B 4674;coluna C 4674
coluna A 14693;coluna B 14693;coluna C 14693
coluna A 19701;coluna B 19701;coluna C 19701
coluna A 39706;coluna B 39706;coluna C 39706
coluna A 49679;coluna B 49679;coluna C 49679
coluna A 49680;coluna B 49680;coluna C 49680
coluna A 9642;coluna B 9642;coluna C 9642
coluna A 29679;coluna B 29679;coluna C 29679
coluna A 24751;coluna B 24751;coluna C 24751
coluna A 24752;coluna B 24752;coluna C 24752
coluna A 34691;coluna B 34691;coluna C 34691
coluna A 44736;coluna B 44736;coluna C 44736
coluna A 4675;coluna B 4675;coluna C 4675
coluna A 14694;coluna B 14694;coluna C 14694
coluna A 19702;coluna B 19702;coluna C 19702
coluna A 39707;coluna B 39707;coluna C 39707
coluna A 39708;coluna B 39708;coluna C 39708
coluna A 49681;coluna B 49681;coluna C 49681
coluna A 49682;coluna B 49682;coluna C 49682
coluna A 9643;coluna B 9643;coluna C 9643
coluna A 29680;coluna B 29680;coluna C 29680
coluna A 24753;coluna B 24753;coluna C 24753
coluna A 34692;coluna B 34692;coluna C 34692
coluna A 44737;coluna B 44737;coluna C 44737
coluna A 4676;coluna B 4676;coluna C 4676
coluna A 14695;coluna B 14695;coluna C 14695
coluna A 14696;coluna B 14696;coluna C 14696
coluna A 19703;coluna B 19703;coluna C 19703
coluna A 39709;coluna B 39709;coluna C 39709
coluna A 49683;coluna B 49683;coluna C 49683
coluna A 49684;coluna B 49684;coluna C 49684
coluna A 9644;coluna B 9644;coluna C 9644
coluna A 29681;coluna B 29681;coluna C 29681
coluna A 29682;coluna B 29682;coluna C 29682
coluna A 24754;coluna B 24754;coluna C 24754
coluna A 34693;coluna B 34693;coluna C 34693
coluna A 44738;coluna B 44738;coluna C 44738
coluna A 4677;coluna B 4677;coluna C 4677
coluna A 14697;coluna B 14697;coluna C 14697
coluna A 14698;coluna B 14698;coluna C 14698
coluna A 19704;coluna B 19704;coluna C 19704
coluna A 39710;coluna B 39710;coluna C 39710
coluna A 49685;coluna B 49685;coluna C 49685
coluna A 9645;coluna B 9645;coluna C 9645
coluna A 29683;coluna B 29683;coluna C 29683
coluna A 24755;coluna B 24755;coluna C 24755
coluna A 34694;coluna B 34694;coluna C 34694
coluna A 44739;coluna B 44739;coluna C 44739
coluna A 4678;coluna B 4678;coluna C 4678
coluna A 14699;coluna B 14699;coluna C 14699
coluna A 19705;coluna B 19705;coluna C 19705
coluna A 19706;coluna B 19706;coluna C 19706
coluna A 39711;coluna B 39711;coluna C 39711
coluna A 49686;coluna B 49686;coluna C 49686
coluna A 9646;coluna B 9646;coluna C 9646
coluna A 29684;coluna B 29684;coluna C 29684
coluna A 24756;coluna B 24756;coluna C 24756
coluna A 34695;coluna B 34695;coluna C 34695
coluna A 34696;coluna B 34696;coluna C 34696
coluna A 44740;coluna B 44740;coluna C 44740
coluna A 44741;coluna B 44741;coluna C 44741
coluna A 4679;coluna B 4679;coluna C 4679
coluna A 14700;coluna B 14700;coluna C 14700
coluna A 14701;coluna B 14701;coluna C 14701
coluna A 19707;coluna B 19707;coluna C 19707
coluna A 39712;coluna B 39712;coluna C 39712
coluna A 49687;coluna B 49687;coluna C 49687
coluna A 9647;coluna B 9647;coluna C 9647
coluna A 9648;coluna B 9648;coluna C 9648
coluna A 29685;coluna B 29685;coluna C 29685
coluna A 24757;coluna B 24757;coluna C 24757
coluna A 34697;coluna B 34697;coluna C 34697
coluna A 34698;coluna B 34698;coluna C 34698
coluna A 44742;coluna B 44742;coluna C 44742
coluna A 4680;coluna B 4680;coluna C 4680
coluna A 14702;coluna B 14702;coluna C 14702
coluna A 19708;coluna B 19708;coluna C 19708
coluna A 39713;coluna B 39713;coluna C 39713
coluna A 39714;coluna B 39714;coluna C 39714
coluna A 49688;coluna B 49688;coluna C 49688
coluna A 9649;coluna B 9649;coluna C 9649
coluna A 29686;coluna B 29686;coluna C 29686
coluna A 24758;coluna B 24758;coluna C 24758
coluna A 34699;coluna B 34699;coluna C 34699
coluna A 44743;coluna B 44743;coluna C 44743
coluna A 4681;coluna B 4681;coluna C 4681
coluna A 14703;coluna B 14703;coluna C 14703
coluna A 19709;coluna B 19709;coluna C 19709
coluna A 39715;coluna B 39715;coluna C 39715
coluna A 39716;coluna B 39716;coluna C 39716
coluna A 49689;coluna B 49689;coluna C 49689
coluna A 9650;coluna B 9650;coluna C 9650
coluna A 29687;coluna B 29687;coluna C 29687
coluna A 24759;coluna B 24759;coluna C 24759
coluna A 24760;coluna B 24760;coluna C 24760
coluna A 34700;coluna B 34700;coluna C 34700
coluna A 44744;coluna B 44744;coluna C 44744
coluna A 4682;coluna B 4682;coluna C 4682
coluna A 14704;coluna B 14704;coluna C 14704
coluna A 19710;coluna B 19710;coluna C 19710
coluna A 19711;coluna B 19711;coluna C 19711
coluna A 39717;coluna B 39717;coluna C 39717
coluna A 49690;coluna B 49690;coluna C 49690
coluna A 9651;coluna B 9651;coluna C 9651
coluna A 9652;coluna B 9652;coluna C 9652
coluna A 9653;coluna B 9653;coluna C 9653
coluna A 29688;coluna B 29688;coluna C 29688
coluna A 24761;coluna B 24761;coluna C 24761
coluna A 34701;coluna B 34701;coluna C 34701
coluna A 44745;coluna B 44745;coluna C 44745
coluna A 4683;coluna B 4683;coluna C 4683
coluna A 14705;coluna B 14705;coluna C 14705
coluna A 19712;coluna B 19712;coluna C 19712
coluna A 39718;coluna B 39718;coluna C 39718
coluna A 39719;coluna B 39719;coluna C 39719
coluna A 49691;coluna B 49691;coluna C 49691
coluna A 9654;coluna B 9654;coluna C 9654
coluna A 9655;coluna B 9655;coluna C 9655
coluna A 29689;coluna B 29689;coluna C 29689
coluna A 24762;coluna B 24762;coluna C 24762
coluna A 29690;coluna B 29690;coluna C 29690
coluna A 34702;coluna B 34702;coluna C 34702
coluna A 34703;coluna B 34703;coluna C 34703
coluna A 44746;coluna B 44746;coluna C 44746
coluna A 4684;coluna B 4684;coluna C 4684
coluna A 4685;coluna B 4685;coluna C 4685
coluna A 14706;coluna B 14706;coluna C 14706
coluna A 14707;coluna B 14707;coluna C 14707
coluna A 19713;coluna B 19713;coluna C 19713
coluna A 39720;coluna B 39720;coluna C 39720
coluna A 49692;coluna B 49692;coluna C 49692
coluna A 9656;coluna B 9656;coluna C 9656
coluna A 9657;coluna B 9657;coluna C 9657
coluna A 24763;coluna B 24763;coluna C 24763
coluna A 29691;coluna B 29691;coluna C 29691
coluna A 29692;coluna B 29692;coluna C 29692
coluna A 34704;coluna B 34704;coluna C 34704
coluna A 44747;coluna B 44747;coluna C 44747
coluna A 4686;coluna B 4686;coluna C 4686
coluna A 14708;coluna B 14708;coluna C 14708
coluna A 19714;coluna B 19714;coluna C 19714
coluna A 39721;coluna B 39721;coluna C 39721
coluna A 49693;coluna B 49693;coluna C 49693
coluna A 9658;coluna B 9658;coluna C 9658
coluna A 9659;coluna B 9659;coluna C 9659
coluna A 24764;coluna B 24764;coluna C 24764
coluna A 29693;coluna B 29693;coluna C 29693
coluna A 29694;coluna B 29694;coluna C 29694
coluna A 34705;coluna B 34705;coluna C 34705
coluna A 44748;coluna B 44748;coluna C 44748
coluna A 44749;coluna B 44749;coluna C 44749
coluna A 4687;coluna B 4687;coluna C 4687
coluna A 14709;coluna B 14709;coluna C 14709
coluna A 19715;coluna B 19715;coluna C 19715
coluna A 39722;coluna B 39722;coluna C 39722
coluna A 49694;coluna B 49694;coluna C 49694
coluna A 49695;coluna B 49695;coluna C 49695
coluna A 9660;coluna B 9660;coluna C 9660
coluna A 24765;coluna B 24765;coluna C 24765
coluna A 29695;coluna B 29695;coluna C 29695
coluna A 29696;coluna B 29696;coluna C 29696
coluna A 34706;coluna B 34706;coluna C 34706
coluna A 44750;coluna B 44750;coluna C 44750
coluna A 44751;coluna B 44751;coluna C 44751
coluna A 4688;coluna B 4688;coluna C 4688
coluna A 14710;coluna B 14710;coluna C 14710
coluna A 14711;coluna B 14711;coluna C 14711
coluna A 19716;coluna B 19716;coluna C 19716
coluna A 39723;coluna B 39723;coluna C 39723
coluna A 49696;coluna B 49696;coluna C 49696
coluna A 49697;coluna B 49697;coluna C 49697
coluna A 9661;coluna B 9661;coluna C 9661
coluna A 9662;coluna B 9662;coluna C 9662
coluna A 24766;coluna B 24766;coluna C 24766
coluna A 29697;coluna B 29697;coluna C 29697
coluna A 34707;coluna B 34707;coluna C 34707
coluna A 44752;coluna B 44752;coluna C 44752
coluna A 44753;coluna B 44753;coluna C 44753
coluna A 4689;coluna B 4689;coluna C 4689
coluna A 14712;coluna B 14712;coluna C 14712
coluna A 19717;coluna B 19717;coluna C 19717
coluna A 39724;coluna B 39724;coluna C 39724
coluna A 49698;coluna B 49698;coluna C 49698
coluna A 9663;coluna B 9663;coluna C 9663
coluna A 24767;coluna B 24767;coluna C 24767
coluna A 29698;coluna B 29698;coluna C 29698
coluna A 34708;coluna B 34708;coluna C 34708
coluna A 44754;coluna B 44754;coluna C 44754
coluna A 4690;coluna B 4690;coluna C 4690
coluna A 14713;coluna B 14713;coluna C 14713
coluna A 19718;coluna B 19718;coluna C 19718
coluna A 39725;coluna B 39725;coluna C 39725
coluna A 49699;coluna B 49699;coluna C 49699
coluna A 9664;coluna B 9664;coluna C 9664
coluna A 24768;coluna B 24768;coluna C 24768
coluna A 29699;coluna B 29699;coluna C 29699
coluna A 34709;coluna B 34709;coluna C 34709
coluna A 44755;coluna B 44755;coluna C 44755
coluna A 4691;coluna B 4691;coluna C 4691
coluna A 14714;coluna B 14714;coluna C 14714
coluna A 19719;coluna B 19719;coluna C 19719
coluna A 39726;coluna B 39726;coluna C 39726
coluna A 49700;coluna B 49700;coluna C 49700
coluna A 49701;coluna B 49701;coluna C 49701
coluna A 9665;coluna B 9665;coluna C 9665
coluna A 24769;coluna B 24769;coluna C 24769
coluna A 29700;coluna B 29700;coluna C 29700
coluna A 34710;coluna B 34710;coluna C 34710
coluna A 44756;coluna B 44756;coluna C 44756
coluna A 4692;coluna B 4692;coluna C 4692
coluna A 14715;coluna B 14715;coluna C 14715
coluna A 19720;coluna B 19720;coluna C 19720
coluna A 39727;coluna B 39727;coluna C 39727
coluna A 49702;coluna B 49702;coluna C 49702
coluna A 9666;coluna B 9666;coluna C 9666
coluna A 9667;coluna B 9667;coluna C 9667
coluna A 24770;coluna B 24770;coluna C 24770
coluna A 24771;coluna B 24771;coluna C 24771
coluna A 29701;coluna B 29701;coluna C 29701
coluna A 34711;coluna B 34711;coluna C 34711
coluna A 44757;coluna B 44757;coluna C 44757
coluna A 4693;coluna B 4693;coluna C 4693
coluna A 14716;coluna B 14716;coluna C 14716
coluna A 19721;coluna B 19721;coluna C 19721
coluna A 39728;coluna B 39728;coluna C 39728
coluna A 49703;coluna B 49703;coluna C 49703
coluna A 9668;coluna B 9668;coluna C 9668
coluna A 24772;coluna B 24772;coluna C 24772
coluna A 24773;coluna B 24773;coluna C 24773
coluna A 29702;coluna B 29702;coluna C 29702
coluna A 34712;coluna B 34712;coluna C 34712
coluna A 34713;coluna B 34713;coluna C 34713
coluna A 44758;coluna B 44758;coluna C 44758
coluna A 4694;coluna B 4694;coluna C 4694
coluna A 14717;coluna B 14717;coluna C 14717
coluna A 19722;coluna B 19722;coluna C 19722
coluna A 39729;coluna B 39729;coluna C 39729
coluna A 49704;coluna B 49704;coluna C 49704
coluna A 9669;coluna B 9669;coluna C 9669
coluna A 24774;coluna B 24774;coluna C 24774
coluna A 29703;coluna B 29703;coluna C 29703
coluna A 34714;coluna B 34714;coluna C 34714
coluna A 44759;coluna B 44759;coluna C 44759
coluna A 4695;coluna B 4695;coluna C 4695
coluna A 14718;coluna B 14718;coluna C 14718
coluna A 19723;coluna B 19723;coluna C 19723
coluna A 39730;coluna B 39730;coluna C 39730
coluna A 49705;coluna B 49705;coluna C 49705
coluna A 9670;coluna B 9670;coluna C 9670
coluna A 24775;coluna B 24775;coluna C 24775
coluna A 29704;coluna B 29704;coluna C 29704
coluna A 34715;coluna B 34715;coluna C 34715
coluna A 44760;coluna B 44760;coluna C 44760
coluna A 4696;coluna B 4696;coluna C 4696
coluna A 14719;coluna B 14719;coluna C 14719
coluna A 19724;coluna B 19724;coluna C 19724
coluna A 39731;coluna B 39731;coluna C 39731
coluna A 49706;coluna B 49706;coluna C 49706
coluna A 49707;coluna B 49707;coluna C 49707
coluna A 9671;coluna B 9671;coluna C 9671
coluna A 24776;coluna B 24776;coluna C 24776
coluna A 29705;coluna B 29705;coluna C 29705
coluna A 34716;coluna B 34716;coluna C 34716
coluna A 44761;coluna B 44761;coluna C 44761
coluna A 4697;coluna B 4697;coluna C 4697
coluna A 4698;coluna B 4698;coluna C 4698
coluna A 14720;coluna B 14720;coluna C 14720
coluna A 19725;coluna B 19725;coluna C 19725
coluna A 39732;coluna B 39732;coluna C 39732
coluna A 49708;coluna B 49708;coluna C 49708
coluna A 9672;coluna B 9672;coluna C 9672
coluna A 24777;coluna B 24777;coluna C 24777
coluna A 29706;coluna B 29706;coluna C 29706
coluna A 34717;coluna B 34717;coluna C 34717
coluna A 44762;coluna B 44762;coluna C 44762
coluna A 4699;coluna B 4699;coluna C 4699
coluna A 14721;coluna B 14721;coluna C 14721
coluna A 19726;coluna B 19726;coluna C 19726
coluna A 39733;coluna B 39733;coluna C 39733
coluna A 49709;coluna B 49709;coluna C 49709
coluna A 9673;coluna B 9673;coluna C 9673
coluna A 24778;coluna B 24778;coluna C 24778
coluna A 29707;coluna B 29707;coluna C 29707
coluna A 34718;coluna B 34718;coluna C 34718
coluna A 44763;coluna B 44763;coluna C 44763
coluna A 4700;coluna B 4700;coluna C 4700
coluna A 14722;coluna B 14722;coluna C 14722
coluna A 14723;coluna B 14723;coluna C 14723
coluna A 19727;coluna B 19727;coluna C 19727
coluna A 19728;coluna B 19728;coluna C 19728
coluna A 39734;coluna B 39734;coluna C 39734
coluna A 49710;coluna B 49710;coluna C 49710
coluna A 9674;coluna B 9674;coluna C 9674
coluna A 24779;coluna B 24779;coluna C 24779
coluna A 29708;coluna B 29708;coluna C 29708
coluna A 34719;coluna B 34719;coluna C 34719
coluna A 34720;coluna B 34720;coluna C 34720
coluna A 34721;coluna B 34721;coluna C 34721
coluna A 44764;coluna B 44764;coluna C 44764
coluna A 4701;coluna B 4701;coluna C 4701
coluna A 14724;coluna B 14724;coluna C 14724
coluna A 19729;coluna B 19729;coluna C 19729
coluna A 39735;coluna B 39735;coluna C 39735
coluna A 49711;coluna B 49711;coluna C 49711
coluna A 9675;coluna B 9675;coluna C 9675
coluna A 24780;coluna B 24780;coluna C 24780
coluna A 29709;coluna B 29709;coluna C 29709
coluna A 34722;coluna B 34722;coluna C 34722
coluna A 44765;coluna B 44765;coluna C 44765
coluna A 4702;coluna B 4702;coluna C 4702
coluna A 44766;coluna B 44766;coluna C 44766
coluna A 14725;coluna B 14725;coluna C 14725
coluna A 19730;coluna B 19730;coluna C 19730
coluna A 39736;coluna B 39736;coluna C 39736
coluna A 49712;coluna B 49712;coluna C 49712
coluna A 9676;coluna B 9676;coluna C 9676
coluna A 9677;coluna B 9677;coluna C 9677
coluna A 24781;coluna B 24781;coluna C 24781
coluna A 29710;coluna B 29710;coluna C 29710
coluna A 34723;coluna B 34723;coluna C 34723
coluna A 4703;coluna B 4703;coluna C 4703
coluna A 44767;coluna B 44767;coluna C 44767
coluna A 14726;coluna B 14726;coluna C 14726
coluna A 14727;coluna B 14727;coluna C 14727
coluna A 19731;coluna B 19731;coluna C 19731
coluna A 39737;coluna B 39737;coluna C 39737
coluna A 49713;coluna B 49713;coluna C 49713
coluna A 9678;coluna B 9678;coluna C 9678
coluna A 24782;coluna B 24782;coluna C 24782
coluna A 24783;coluna B 24783;coluna C 24783
coluna A 24784;coluna B 24784;coluna C 24784
coluna A 24785;coluna B 24785;coluna C 24785
coluna A 29711;coluna B 29711;coluna C 29711
coluna A 34724;coluna B 34724;coluna C 34724
coluna A 4704;coluna B 4704;coluna C 4704
coluna A 44768;coluna B 44768;coluna C 44768
coluna A 14728;coluna B 14728;coluna C 14728
coluna A 19732;coluna B 19732;coluna C 19732
coluna A 39738;coluna B 39738;coluna C 39738
coluna A 49714;coluna B 49714;coluna C 49714
coluna A 9679;coluna B 9679;coluna C 9679
coluna A 9680;coluna B 9680;coluna C 9680
coluna A 24786;coluna B 24786;coluna C 24786
coluna A 29712;coluna B 29712;coluna C 29712
coluna A 34725;coluna B 34725;coluna C 34725
coluna A 4705;coluna B 4705;coluna C 4705
coluna A 44769;coluna B 44769;coluna C 44769
coluna A 14729;coluna B 14729;coluna C 14729
coluna A 19733;coluna B 19733;coluna C 19733
coluna A 39739;coluna B 39739;coluna C 39739
coluna A 19734;coluna B 19734;coluna C 19734
coluna A 49715;coluna B 49715;coluna C 49715
coluna A 49716;coluna B 49716;coluna C 49716
coluna A 9681;coluna B 9681;coluna C 9681
coluna A 9682;coluna B 9682;coluna C 9682
coluna A 24787;coluna B 24787;coluna C 24787
coluna A 29713;coluna B 29713;coluna C 29713
coluna A 34726;coluna B 34726;coluna C 34726
coluna A 4706;coluna B 4706;coluna C 4706
coluna A 44770;coluna B 44770;coluna C 44770
coluna A 14730;coluna B 14730;coluna C 14730
coluna A 39740;coluna B 39740;coluna C 39740
coluna A 19735;coluna B 19735;coluna C 19735
coluna A 49717;coluna B 49717;coluna C 49717
